architecture,timestamp,test_acc,rbc0_prec,rbc0_recall,rbc0_f1,rbc1_prec,rbc1_recall,rbc1_f1,rbc2_prec,rbc2_recall,rbc2_f1,rbc3_prec,rbc3_recall,rbc3_f1,rbcalone_prec,rbcalone_recall,rbcalone_f1,macro_f1,weighted_f1,val_acc
convnext_base,2026-03-27 19:44,0.9459,0.9918,0.9728,0.9822,0.9314,0.8763,0.903,0.7812,0.8152,0.7979,0.803,0.8983,0.848,0.8168,0.9554,0.8807,0.8824,0.9468,0.9444
convnext_tiny,2026-03-27 19:32,0.9368,0.9938,0.9647,0.979,0.8778,0.8495,0.8634,0.729,0.8478,0.7839,0.8571,0.8136,0.8348,0.8074,0.9732,0.8826,0.8687,0.9382,0.9333
resnet34,2026-03-27 17:23,0.9362,0.9887,0.9708,0.9797,0.9012,0.8333,0.8659,0.7727,0.7391,0.7556,0.7639,0.9322,0.8397,0.8,0.9643,0.8745,0.8631,0.9368,0.9347
resnet50,2026-03-27 17:39,0.9348,0.9948,0.9667,0.9806,0.8441,0.8441,0.8441,0.7711,0.6957,0.7314,0.7808,0.9661,0.8636,0.8148,0.9821,0.8907,0.8621,0.9353,0.9347
resnet152,2026-03-27 18:12,0.9299,0.9917,0.9647,0.978,0.8736,0.8172,0.8444,0.6887,0.7935,0.7374,0.8475,0.8475,0.8475,0.7883,0.9643,0.8675,0.855,0.9315,0.9361
resnet101,2026-03-27 17:53,0.9292,0.9827,0.9708,0.9767,0.8772,0.8065,0.8403,0.6931,0.7609,0.7254,0.8333,0.8475,0.8403,0.8217,0.9464,0.8797,0.8525,0.9299,0.9458
vit_b16,2026-03-27 20:03,0.9257,0.9897,0.9698,0.9796,0.8678,0.8118,0.8389,0.6966,0.6739,0.6851,0.6588,0.9492,0.7778,0.8512,0.9196,0.8841,0.8331,0.927,0.9361
resnet18,2026-03-27 17:07,0.9216,0.9927,0.9617,0.977,0.8506,0.7957,0.8222,0.6842,0.7065,0.6952,0.8095,0.8644,0.8361,0.7432,0.9821,0.8462,0.8353,0.9231,0.9208
efficientnet_b4,2026-03-27 19:15,0.9049,0.9845,0.9627,0.9735,0.7772,0.7688,0.773,0.6571,0.5,0.5679,0.7391,0.8644,0.7969,0.7365,0.9732,0.8385,0.7899,0.904,0.9153
efficientnet_b0,2026-03-27 18:25,0.8931,0.9864,0.9496,0.9676,0.7302,0.7419,0.736,0.5259,0.663,0.5865,0.7,0.8305,0.7597,0.8739,0.8661,0.87,0.784,0.8973,0.9139
efficientnet_b1,2026-03-27 18:42,0.8897,0.9863,0.9415,0.9634,0.734,0.7419,0.738,0.5802,0.5109,0.5434,0.6627,0.9322,0.7746,0.7606,0.9643,0.8504,0.7739,0.891,0.8903
