architecture,timestamp,test_acc,rbc1_prec,rbc1_recall,rbc1_f1,rbc2_prec,rbc2_recall,rbc2_f1,rbc3_prec,rbc3_recall,rbc3_f1,macro_f1,weighted_f1,val_acc,error
A_resnet18,2026-03-17 16:00,0.9162,0.964,0.9727,0.9683,0.881,0.7708,0.8222,0.8158,0.9394,0.8732,0.8879,0.9152,0.8542,
A_resnet34,2026-03-17 16:06,0.9267,0.9727,0.9727,0.9727,0.84,0.875,0.8571,0.9032,0.8485,0.875,0.9016,0.9268,0.9062,
A_resnet50,2026-03-17 16:13,0.9372,0.9815,0.9636,0.9725,0.875,0.875,0.875,0.8857,0.9394,0.9118,0.9197,0.9375,0.9062,
A_resnet101,2026-03-17 16:20,0.9005,0.9808,0.9273,0.9533,0.8,0.8333,0.8163,0.8108,0.9091,0.8571,0.8756,0.9022,0.9271,
A_resnet152,2026-03-17 16:27,0.9215,0.9558,0.9818,0.9686,0.8696,0.8333,0.8511,0.875,0.8485,0.8615,0.8937,0.9206,0.9271,
A_efficientnet_b0,2026-03-17 16:34,0.8743,0.9138,0.9636,0.9381,0.825,0.6875,0.75,0.8,0.8485,0.8235,0.8372,0.871,0.8958,
A_efficientnet_b1,2026-03-17 16:40,0.822,0.8793,0.9273,0.9027,0.7576,0.5208,0.6173,0.7143,0.9091,0.8,0.7733,0.8132,0.8125,
A_efficientnet_b4,2026-03-17 16:47,0.8429,0.8699,0.9727,0.9185,0.8276,0.5,0.6234,0.7692,0.9091,0.8333,0.7917,0.8296,0.8229,
A_convnext_tiny,2026-03-17 16:52,0.9215,0.9561,0.9909,0.9732,0.9231,0.75,0.8276,0.8158,0.9394,0.8732,0.8913,0.9193,0.9375,
A_convnext_base,2026-03-17 16:59,0.9319,1.0,0.9818,0.9908,0.8431,0.8958,0.8687,0.8438,0.8182,0.8308,0.8968,0.9325,0.9271,
A_vit_b16,2026-03-17 17:04,0.9005,0.9397,0.9909,0.9646,0.8372,0.75,0.7912,0.8438,0.8182,0.8308,0.8622,0.8979,0.9062,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
resnet18,2026-04-07 16:21,0.9676,0.997,0.9891,0.9931,0.8264,0.9091,0.8658,0.7609,0.7292,0.7447,0.8663,0.9679,0.9668,
resnet34,2026-04-07 16:30,0.9776,0.997,0.9941,0.9955,0.8974,0.9545,0.9251,0.8261,0.7917,0.8085,0.8932,0.9775,0.9751,
resnet50,2026-04-07 16:37,0.9734,0.995,0.9931,0.9941,0.8718,0.9273,0.8987,0.8222,0.7708,0.7957,0.883,0.9733,0.9718,
resnet101,2026-04-07 16:49,0.9776,0.997,0.9901,0.9936,0.875,0.9545,0.913,0.9048,0.7917,0.8444,0.9124,0.9776,0.9801,
resnet152,2026-04-07 16:55,0.9792,0.997,0.996,0.9965,0.9211,0.9545,0.9375,0.9189,0.7083,0.8,0.893,0.9789,0.9734,
efficientnet_b0,2026-04-07 17:04,0.9692,0.995,0.9911,0.9931,0.8475,0.9091,0.8772,0.8205,0.6667,0.7356,0.8698,0.9689,0.9551,
efficientnet_b1,2026-04-07 17:15,0.9543,0.993,0.9832,0.9881,0.7805,0.8727,0.824,0.7317,0.625,0.6742,0.8144,0.9546,0.9419,
efficientnet_b4,2026-04-07 17:25,0.9601,0.995,0.9901,0.9926,0.8115,0.9,0.8534,0.6667,0.625,0.6452,0.8163,0.96,0.9485,
convnext_tiny,2026-04-07 17:30,0.9767,0.996,0.9941,0.9951,0.9196,0.9364,0.9279,0.875,0.7292,0.7955,0.8891,0.9766,0.9784,
convnext_base,2026-04-07 18:03,0.9825,0.997,0.9921,0.9946,0.9138,0.9636,0.9381,0.9318,0.8542,0.8913,0.9306,0.9826,0.9767,
vit_b16,2026-04-07 18:08,0.9684,0.9941,0.996,0.9951,0.8632,0.9182,0.8899,0.7632,0.6042,0.6744,0.8413,0.9675,0.9718,
